ArticleId,Text,Category
1155,chancellor rallies labour voters gordon brown has issued a rallying cry to supporters  warning the  stakes are too high  to stay at home or protest vote in the next general election.  the chancellor said the poll - expected to fall on 5 may - would give a  clear and fundamental  choice between labour investment and tory cuts. he told his party s spring conference the tories must not be allowed to win. the conservatives and lib dems insisted that voters faced higher taxes and means-testing under labour.  to a packed audience at gateshead s sage centre  mr brown accused shadow chancellor oliver letwin of plotting cuts that were the equivalent of sacking every teacher  gp and nurse in the country. laying into the conservative s record in government he said:  i give you this promise - with labour  britain will never return to the mistakes of erm and 10% inflation  15% interest rates  £3bn in lost reserves  250 000 repossessed  one million in negative equity and three million unemployed.  never again tory boom and bust.   this will be the central dividing line at the election  between a conservative party taking britain back and planning deep cuts of £35bn in our services  and a labour government taking britain forward  which on a platform of stability will reform and renew our hospitals  schools and public services and  i am proud to say  spend by 2008 £60bn more.  turning to the economy  the chancellor promised to continue economic stability and growth in a third term in power.  he also pledged to continue the fight against child and pensioner poverty. and he promised help to get young people on the property ladder.  my message to the thousands of young couples waiting to obtain their first home is that housing is rightly now at the centre of our coming manifesto   he said.  and the next labour government will match our low mortgage rates with a new first-time buyers  initiative.  in the speech  which prompted a standing ovation  he also promised to end teenage unemployment within the next five years.  he also highlighted plans for 100% debt relief for the world s poorest countries  a national minimum wage for 16 and 17-year-olds  the creation of a network of children s centres and flexibility in maternity leave. responding to the speech  shadow chief secretary to the treasury  george osborne  said:  this was more talk from gordon brown.  we ve heard it all before. instead of talking about the future he kept on talking about the past.  he completely failed to say which taxes he would put up to fill the black hole in his spending plans.  there will be a simple choice at the election - value for money and lower taxes with the conservatives  or more waste and higher taxes under tony blair and gordon brown.   liberal democrat shadow chancellor vince cable warned the picture was not as rosy as mr brown would like to portray it.  for all his trumpeting of labour s management of the economy  gordon brown s record is very mixed   he said.  gordon brown has created a system of massive centralisation and bureaucracy  a system which subjects millions of people to means testing  and a system of taxation which is extremely complex.  for all his positive words  gordon brown is faced with economic problems looming on the horizon  not least the unprecedented levels of personal debt facing the nation.  also in gateshead  the prime minister took questions sent in by e-mail  text message and telephone as part of labour s attempt to engage the public in their campaign. mr blair told the audience he believed the iraq war would have made britain a safer place if its emerging democracy succeeded and that he wanted to bring troops home as soon as possible  but not before the job was done. he also said he wanted to carry on as pm  because i still think that there are big changes our country needs .,politics
1980,india s maruti sees profits jump india s biggest carmaker maruti has reported a sharp increase in quarterly profit after a booming economy and low interest rates boosted demand.  net profit surged 70% to 2.39bn rupees ($54.98m; £29.32m) in the last three months of 2004 compared with 1.41bn rupees a year earlier. total sales were 30.1bn rupees  up 27% from the same 2004 period. maruti accounts for half of india s domestic car sales  luring consumers with cheap  fuel-efficient vehicles.  demand in india also has been driven by the poor state of public transport and the very low level of car ownership  analysts said.  figures show that only eight people per thousand are car owners. maruti beat market expectations despite an increase in raw materials costs. the company  majority-owned by japan s suzuki  said an increase in steel and other raw material prices was partially offset by cost cutting. sales in the fiscal third quarter  including vans and utility vehicles  rose by 17.8% to 136.069 units. maruti is not the only company benefiting as indian s economic growth gives consumer greater spending power. utility vehicle and tractor maker mahindra has reported a 52% rise in net profit during the last three months of 2004. profit was 1.33bn rupees compared with 874.2m rupees a year earlier.,business
386,ukip s secret weapon  by any measure  new yorker dick morris is that thing americans love over everything else - a winner.  this is the man who  some pundits believe  was almost single-handedly responsible for bill clinton s sensational 1992 comeback victory. but morris is no ideologue. he has worked as election strategist for any number of republicans as well and  more recently  politicians from mexico to uruguay. now he is back in london as the uk independence party s not-so-secret electoral weapon after returning from the ukraine where he helped - you guessed it - opposition candidate viktor yushchenko. if there is one regular criticism levelled at morris  it is that he is too ready to switch allegiances. that he enjoys the game more than the politics.  so why britain and why ukip which  despite its recent eu election successes  is not likely to pull off a sensational victory in the looming general election. on this subject  morris appears almost evangelical.   i was on a cruise in the mediterranean and  coincidentally  so was ukip leader roger knapman.  i had just written a piece saying how the english channel was now wider than the atlantic which he liked and it went from there . but what is it about ukip that particularly attracts him  many might think it is simply another chance to practice his art  irrespective of the politics.  i think the greatest threat to democracy in the world is not terrorism but bureaucratism . a great soundbite  but a surprise coming from a new yorker post 11 september.  it is the growth of these bodies composed of experts who know better  who don t believe in letting democracy govern but believe in letting the correct solution be determined.  that s international bankers  the world trade organisation  the international monetary fund  the world bank and  primarily  the european union .  so he is out to help ukip take britain out of this organisation which he believes is unreformable and inherently undemocratic. and he is scathing of the tory party which he also appears to believe is unreformable.  the tory party is schizophrenic about europe. but until somebody says they are willing to leave the eu they can t possibly re-negotiate anything (as michael howard is pledged to do).  it s like walking into a liquor store with a gun to rob it and saying:  before i can proceed with the robbery i want to make clear i am not going to shoot anybody  . possibly a very american analogy  but another great soundbite.  the basic point is that the eu seeks political integration to move the entire nexus of decision making away from britain - and we oppose that and the tories cannot be trusted to oppose it .  so is ukip s job to destroy the tories  as former member robert kilroy-silk once notoriously declared   no. the aim of ukip is to withdraw from the eu and if it has any relation to the tories it is to stiffen the tories  spine on the issue by having a large enough ukip vote so that we move the tories in the direction they are refusing to move.   but it s not just to shift the tories. i think ukip had a huge amount to do with tony blair s decision to hold a referendum on the european constitution and i think it had a huge amount to do with his refusal to go into the euro . and  while we are on the subject of mr kilroy-silk  mr morris despatches him with another of his neat soundbites.  robert kilroy silk is not a team player - it is a good idea our party stands for some thing and not some one .  so what is the big plan for the general election. how will he achieve the breakthrough   look  we are not going to be forming the next government   he said. neither does ukip have to fight every seat. as with the 2004 us presidential election  he says  the outcome will be decided by a small number of swing seats - just as he believes it will in britain. so  with limited resources  the aim is to target those seats and end the day with a significant group in the commons. he also believes it is possible the internet could have a big part in the poll.  the internet was a decisive factor in the 2004 presidential election - through blogs (individuals posting their views in online diaries). people just did it .  anything can happen in the next general election. there is an inherent instability at the moment.  labour and the tories have drawn the consensus so tightly and to the left there is room for another voice .  that might  he suggests  lead to a hung parliament with ukip and others holding the balance of power. it is a huge task  surely. but there is undoubtedly a sense that the next general election may indeed produce some surprises - even while most still believe it is labour s for the taking. ukip s performance in last year s european elections was just such a shocker and showed that mr morris may have a point about the new consensus. and after all  he has a reputation to sustain.,politics
1436,banker loses sexism claim a former executive at the london offices of merrill lynch has lost her £7.5m ($14.6m) sex discrimination case against the us investment bank.  an employment tribunal dismissed stephanie villalba s allegations of sexual discrimination and unequal pay. but the 42-year-old won her claim of unfair dismissal  resulting from her sacking in august 2003. her partial victory is likely to cap her compensation to about £55 000  a tiny fraction of what she asked for. the extent of damages will be assessed in the new year. the action - the biggest claim heard by an employment tribunal in the uk - had been viewed as something of a test case.  the tribunal decided that ms villalba had been unfairly dismissed because  having been removed from a senior post  she was entitled to wait to see if a suitable alternative position could be found in the organisation. ms villalba  the former head of merrill s private client business in europe  has made no decision on whether to appeal.  a spokesman for her lawyers described the decision as  very disappointing   but pointed to some criticism of merrill s procedures within the lengthy judgement. the tribunal upheld ms villalba s claim of victimisation on certain specific issues  including bullying e-mails in connection with a contract  but said it found no evidence of  laddish culture  at the bank.  we said from the start that this case was about performance not gender   merrill said in a statement.  ms villalba was removed by the very same person who had promoted her into the position and who then replaced her with another woman.  merrill lynch is dedicated to creating a true meritocracy where every employee has the opportunity to advance based on their skills and hard work.   based in london s financial district  ms villalba worked for merrill s global private client business in europe  investing funds for some of merrill s most important customers. but in 2003 her employers told her she had no future after 17 years with the company  and she was made redundant. merrill lynch denied ms villalba s claims and said she was removed from her post because of the extensive losses the firm was suffering on the continent. the firm had told the tribunal that ms villalba s division had been losing about $1m a week. merrill said ms villalba lacked the leadership skills to turn around the unit.,business
304,dallaglio eyeing lions tour place former england captain lawrence dallaglio still harbours hopes of a place on the british and irish lions tour to new zealand.  lions coach sir clive woodward has made it clear he will pick his squad to tour next summer based on form shown in the six nations championship. but dallaglio  who called time on england earlier this year  said:  i assure you i wouldn t let anyone down.  i know what it takes and what i have to offer   he told the daily telegraph. dallaglio toured south africa with the lions in 1997 but was forced home early with a knee injury from the trip to australia three years ago.  the 32-year-old also felt concentrating on club rugby could have prolonged his international shelf-life. he said:  i ll be in good shape and fresh without another 10 tests on the clock.  from what i witnessed at close quarters on sunday in our heineken cup match against leicester  i certainly didn t feel out of place alongside those players  many of whom will be on the trip.   if i m fit and playing well  then i m most certainly available.  if clive feels he has no need to look outside the international crop  then fine. if he does  then he won t need to look too far  will he,sport
877,anglers  could face prosecution  anglers and fishermen could find themselves prosecuted under plans to crack down on animal cruelty  a committee of mps has warned.  sloppy wording of the draft animal welfare bill could leave anglers facing court even though it was not intended  the environment select committee said. the mps said they were  concerned  the government had not consulted directly on its plans to improve animal welfare. they raised complex and emotive issues which needed to be resolved  mps said.  they called for a  cast-iron guarantee  that the government consults on any plans to regulate animal industries like pet fairs and game bird rearing. the draft bill seeks to modernise and improve animal welfare legislation  and intends to protect  kept animals  and  companion  animals by setting up a  duty of care . in addition to maintaining existing cruelty offences  it creates an offence of neglect by keepers who fail to protect the animals for whom they are responsible. the bill would allow animal welfare officers to intervene to prevent harm to an animal as well as outlawing  mutilation  of animals - unless it can be demonstrated to be in the animal s best interest.  the environment select committee made 101 recommendations after hearing evidence from 51 organisations and individuals. one was a call to amend the bill so that prosecutions against those engaged in fishing were not inadvertently encouraged - even if they were to later fail.  we accept that neither commercial fishing nor recreational angling should fall within the remit of the of the draft bill and we therefore support the government s intention to exempt fishing as an activity.   but the committee said an amendment was needed to ensure cases were not brought.  however  in exempting fishing  the government should be careful to ensure that those persons who catch fish are not given  carte blanche  to inflict unnecessary suffering in the course of pursuing this activity   the committee added. the committee also said some legal protections for animals were downgraded by the bill  such as the law on abandonment of animals which  would be significantly weakened . mps urged the government to redraft clauses relating to the prosecution of cruelty offences. this was because as it stood the draft bill would allow certain acts that should be prosecuted - such as unnecessary suffering caused to an animal through neglect  or unnecessary mental suffering - to go unpunished.  committee chairman michael jack said:  any change in the law as it affects animals always arouses powerful emotions and great public interest.  this draft bill is no exception. my committee welcomes the development of an approach to animal welfare which doesn t just wait for a problem to occur but enables action to be taken to protect animals before irreversible suffering takes place.  but mr jack said the bill  very much had the feel of a  work in progress   and urged the government to guarantee that  an obligation to consult will be enshrined in law  before it extended legislative plans to areas such as pet fairs  circuses and game bird farms.  the government must work hard to take the rough edges of its initial proposals before the bill is introduced to parliament   he added.,politics
1078,jugnot  tops french actor league  actor gerard jugnot - star of the oscar-nominated film the chorus - has beaten gerard depardieu to become france s best-paid actor of 2004.  jugnot made 5.45m euros (£3.77m) last year  according to a table drawn up by france s le figaro newspaper. in the chorus (les choristes)  jugnot plays an inspiring music teacher at a school for troubled boys in 1949. despite starring in five films in 2004  depardieu made 3.35m euros (£2.31m) putting him third place in the chart.  his name [depardieu] is no longer sufficient to guarantee the success of a film   said le figaro newspaper. the chorus  which jugnot also co-produced  has drawn an audience of nearly nine million people since its release last year.  godzilla star jean reno was france s second best-paid actor in 2004  earning 3.55m euros (£2.45m) . his roles include a recent uncredited cameo in the oscar-nominated hotel rwanda. the highest-ranking woman on le figaro s list was audrey tautou in 10th place  earning 885 000 euros (£611 000). she starred in jean-pierre jeunet s a very long engagement (un long dimanche de fiancailles) and is also lined up to co-star with tom hanks in ron howard s the da vinci code. the chorus is nominated for best foreign film at sunday s oscar ceremony. on saturday  it will compete for the title of best film against fellow nominee a very long engagement in france s cesar film awards.,entertainment
593,china  ripe  for media explosion asia is set to drive global media growth to 2008 and beyond  with china and india filling the two top spots  analysts have predicted.  japan  south korea and singapore will also be strong players  but china s demographics give it the edge  a media conference in london heard. the world s most populous country - population 1.3bn - now has about 200 million middle-class consumers. forty per cent fall in the key 16 to 35-year-old demographic. as a result  it is attracting huge foreign investment in media and communications  analysts told the financial times new media and broadcasting conference last week. interest in china among international media groups has surged in recent months after beijing issued rules allowing foreign investment in joint-venture television  radio and film production companies. news corporation  viacom and sony pictures are among the big names involved in joint ventures with chinese players.  more than 700 million chinese listen to 1 000 radio stations  while 200 tv stations broadcast 2 900 channels. china central television (cctv)  the state broadcaster  claims an audience of more than a billion people. of the country s 360 million households  100 million receive cable tv programmes. the rest could be a potential audience for satellite broadcasting which china plans to launch in 2006. the state administration of radio  film and television (sarft)  which regulates broadcasting  plans to move all programmes to digital by 2015. the continuing roll-out of new digital channels has boosted demand for quality content  creating significant opportunities for both chinese and foreign content providers.  but according to recent reports from china  the authorities have tightened controls over foreign investment in tv production joint ventures. it has limited most foreign companies to only one joint venture and banned the involvement of any found to be  unfriendly   according to reports. the sarft said:  there is a very strong ideological component to production of broadcast television programmes.  it added:  china must understand the political tendencies and background of overseas partners and prevent joint ventures or cooperation from bringing harmful foreign thinking or culture into our production sector.  according to the financial times  china correspondent  the new rules highlight the political sensitivities that surround foreign involvement in china s media sector. this is despite beijing s decision to open the state-dominated sector to international investment.  as well as traditional broadcasting  chinese and foreign entrepreneurs alike see fortunes waiting to be made in new media  like mobile services and online gaming. mobile games already account for 15% of revenues from china s 340 million mobile users.  online gaming sales are predicted to top a billion us dollars next year  according to the uk-based journal screen digest. the video market is also seen as a big opportunity  although piracy levels are still very high despite an anti-piracy drive during the past year. in the cinema industry the deployment of digital screens is being accelerated. this is not just to modernise venues but also to curb piracy and regulate distribution. li ruigang  president of the commercial broadcaster shanghai media group  told the conference that china s new media market  is already experiencing explosive growth . it was particularly strong in charged broadband services and mobile value-added services. leading china-watcher  and founder of the cga consultancy jeanne-marie gescher  agreed that the time was ripe for foreign media groups to tap china s huge media market potential.  china s media are now driven by investors who do not care how people consume media - they just want people to consume more of it   mrs gescher concluded.,tech
761,kilroy-silk attacked with slurry euro mp robert kilroy-silk has had a bucket of farm slurry thrown over him by a protester in manchester.  the uk independence party member was arriving for a bbc radio show when the attacker emerged from behind a bush. fellow guest ruth kelly mp was also hit by the slurry. mr kilroy-silk said the man  who later disappeared  claimed he was  doing it in the name of islam . in january  mr kilroy-silk quit his bbc one show for remarks he made about arabs  who he called  suicide bombers .  mr kilroy-silk had already been taken off air by bbc bosses for the comments  in which he also described arabs as  limb-amputators  women repressors . the remarks prompted outrage among muslim groups. the slurry attack took place on friday as mr kilroy-silk and ms kelly  a cabinet office minister and bolton west mp  arrived at manchester high school for girls for the recording of bbc radio 4 s any questions.  the police were called but the attacker had disappeared by the time officers arrived. they are treating the incident as assault. the programme s host  jonathan dimbleby  later told the audience the mep had been covered from  head to toe . mr kilroy-silk was still able appear to appear on the show after being loaned a change of clothes.  he told reporters he was  very angry  and planned to press charges if his attacker was caught. he said the man shouted:  you ve offended my religion  i m doing this in the name of islam.   as i started to turn round a guy tipped a bucket of farmyard muck over me and then threw the rest of it over me and the car   mr kilroy-silk said.  i was totally covered  it was all through my clothes  and it stank to high heaven. it went all inside the car and splattered ruth kelly.  a bbc spokesman said:  he took his seat as jonathan dimbleby was introducing the show. fortunately someone at the school had a change of clothes to let him have.  greater manchester police said people near mr kilroy-silk had also been hit by the waste. officers took statements at the scene  but no arrests have been made. police say the suspect ran off after towards wilmslow road after committing the offence but is believed to have been driving a red vauxhall corsa earlier. the suspect is described as white  aged 30 to 40  with a ginger beard. police want to hear from anyone who has any information.  mr kilroy-silk  an mep for the east midlands  resigned the uk independence party whip in the european parliament in october  after criticising ukip and stating his ambition to be leader. however  he remains a member of the party. he said on friday he hoped to be elected party leader before christmas.  i think that is sufficient time for us to put in process what is necessary... in time for us to fight and have a significant impact upon the general election.  but a ukip spokesman said that would be impossible under the party s constitution  which requires 70 days before any leadership ballot can take place.,politics
252,federer joins all-time greats the last year has seen one player dominate men s tennis  and one country dominate the women s game.  roger federer became the first man since mats wilander in 1988 to win three grand slams in one season. and after anastasia myskina became the first russian woman to win a grand slam at the french open  two more followed at wimbledon and the us open. meanwhile  briton tim henman enjoyed his best year  while greg rusedski fought back superbly from adversity. federer began the year as world number one and holder of the wimbledon and masters cup titles  and set about conquering new ground. the swiss sounded warning of the dominance to come at the australian open.  he ripped through the draw before beating marat safin in the final. andy roddick was the only player to put up any real resistance at wimbledon  and federer s performance against lleyton hewitt in the us open final was breathtaking. federer again got the better of hewitt in the season-ending masters cup. his victory in houston proved to be his 13th successive win in a final  an open era record. the only major let-down was a third-round loss to gustavo kuerten at the french open  and roland garros will be his main target in 2005.  there was also a surprise loss to the unheralded tomas berdych at the olympic games  which saw chile dominate as nicoals massu took the singles and then paired up with fernando gonzaelz to win doubles gold. another major trophy that looks beyond federer is the davis cup  which was won by spain in a 3-2 home success over the usa in seville. roddick struggled on the clay  losing to rafael nadal on the opening day before going down to carlos moya in the all-important fourth rubber.  henman broke new ground by reaching the semis on clay at the french open - a stunning effort - and also at the us open. a quarter-final defeat to mario ancic at wimbledon was disappointing for the limp manner of the briton s defeat  but he remains optimistic of going further next year.  british number two rusedski endured a rollercoaster year  returning to the circuit after being cleared of a doping offence in march. with his ranking down at 168  many feared the 31-year-old s career was over  but he battled back in the second half of the season to re-enter the top 50. the russian women finally delivered on their long-recognised promise in 2004  with myskina  maria sharapova and svetlana kuznetsova winning grand slams  before taking the season-ending fed cup. but while the young russians were on the way up  it was a different story for the belgians and the williams sisters. only veteran lindsay davenport held the new wave at bay  a stunning run of form after wimbledon taking her to number one ahead of amelie mauresmo  whose grand slam drought goes on. the year started in regulation fashion as justine henin-hardenne beat compatriot kim clijsters at the australian open.  a virus ruined the rest of henin-hardenne s year  although she was fit enough to win olympic gold  but clijsters had an even more miserable 2004. she suffered a serious wrist injury and then announced the end of her relationship with lleyton hewitt  and will be happy to see the year end. in their absence  myskina thrashed elena dementieva in a historic  but woeful  all-russian final at the french open. wimbledon was a more refreshing affair as sharapova captivated sw19  showing nerves of steel as she battled past davenport and serena williams to take the title.  davenport was a strong favourite for the us open but  hampered by injury  lost to the powerful and unflappable kuznetsova in the semis. kuznetsova went on to give dementieva another grand slam final thrashing  with the latter s wayward serve becoming one of the talking points of the year. with the russians still improving  the likes of henin-hardenne  clijsters  davenport  mauresmo  venus and serena will need to be fully fit and motivated in 2005. and it may take their compatriot safin to challenge federer on the men s side.,sport
